「鋼の錬金術師」の舞台となる国はどこ？,1,アメストリス,アルメニア,イシュヴァール,イシュバラ
「鋼の錬金術師」に登場する犬の名前は何？,3,シロ,ハチ,ブラックヘイズ,ブラッドハウンド
ホムンクルスの中で、強力な再生能力を持つのは誰？,2,グリード,ラスト,ラース,グラン
エドワードが失った右腕と左足は何に置き換えられた？,3,右腕：鋼の義手 左足：鋼の義足,右腕：鋼の義足 左足：鋼の義手,右腕：木の義手 左足：鋼の義足,右腕：鉄の義手 左足：鋼の義足
アルフォンスが身体を失くした代わりに、鎧に封印されたのは誰の魂？,4,アルフォンス自身の魂,エドワードの魂,母の魂,父の魂
ホーエンハイムの本名は何？,2,ヴァン・ホーエンハイム,エドワード・ホーエンハイム,ロイ・ホーエンハイム,アルフォンス・ホーエンハイム
イシュヴァール人虐殺を行った将軍は誰？,3,キムブリー,マスタング,ラスト,グラン
紅の扉を開けたことで、エドワードが失ったものは何？,1,左側の門から失ったものと同じもの,右側の門から失ったものと同じもの,身体の自由,記憶
ロイ・マスタングが専用の手袋を使用する理由は？,4,点火するため,水を凍らせるため,石を割るため,風を起こすため
エドワードが使う錬成陣の形は？,2,星形,円形,三角形,正方形
